OBJECTID,DATE,Male,Female,Unknown
1,3/12/2020 6:00,6,6,0
2,3/13/2020 6:00,9,6,0
3,3/14/2020 6:00,16,10,0
4,3/15/2020 6:00,0,0,0
5,3/16/2020 6:00,21,16,0
6,3/17/2020 6:00,0,0,0
7,3/18/2020 6:00,49,36,0
8,3/19/2020 6:00,59,48,0
9,3/20/2020 6:00,80,69,0
10,3/21/2020 6:00,84,106,0
11,3/22/2020 6:00,129,116,0
12,3/23/2020 6:00,149,140,0
13,3/24/2020 6:00,178,171,0
14,3/25/2020 6:00,212,211,0
15,3/26/2020 6:00,298,282,0
16,3/27/2020 6:00,392,382,0
17,3/28/2020 6:00,487,505,0
18,3/29/2020 6:00,605,634,0
19,3/30/2020 6:00,697,716,0
20,3/31/2020 6:00,804,856,0
21,4/1/2020 6:00,969,1016,0
22,4/2/2020 6:00,1137,1194,0
23,4/3/2020 6:00,1323,1435,0
24,4/4/2020 6:00,1485,1640,0
25,4/5/2020 6:00,1694,1915,0
26,4/6/2020 6:00,1890,2155,0
27,4/7/2020 6:00,2042,2329,0
28,4/8/2020 6:00,2574,2955,0
29,4/9/2020 6:00,2865,3320,0
30,4/10/2020 6:00,3215,3753,0
31,4/11/2020 6:00,3554,4140,0
32,4/12/2020 6:00,3787,4438,0
33,4/13/2020 6:00,4105,4831,0
34,4/14/2020 6:00,4340,5132,0
35,4/15/2020 6:00,4593,5439,0
36,4/16/2020 6:00,4967,5817,0
37,4/17/2020 6:00,5323,6249,0
38,4/18/2020 6:00,5656,6652,0
39,4/19/2020 6:00,5907,6923,0
40,4/20/2020 6:00,6310,7374,0
41,4/21/2020 6:00,6570,7623,0
42,4/22/2020 6:00,6821,7954,0
43,4/23/2020 6:00,7290,8447,0
44,4/24/2020 6:00,7742,8874,0
45,4/25/2020 6:00,8268,9498,0
46,4/26/2020 6:00,8618,9963,0
47,4/27/2020 6:00,9027,10460,0
48,4/28/2020 6:00,9363,10750,0
49,4/29/2020 6:00,9719,11130,0
50,4/30/2020 6:00,10147,11595,0
51,5/1/2020 6:00,10972,12500,0
52,5/2/2020 6:00,11468,13005,0
53,5/3/2020 6:00,11969,13493,0
54,5/4/2020 6:00,12472,13936,0
55,5/5/2020 6:00,12801,14316,0
56,5/6/2020 6:00,13315,14848,0
57,5/7/2020 6:00,13902,15472,0
58,5/8/2020 6:00,14447,16038,0
