OBJECTID,DATE,African_American,White,Hispanic,Asian,Other,Not_Available
1,4/6/2020 6:00,1521,1207,0,74,321,922
2,4/7/2020 6:00,0,0,0,0,0,0
3,4/8/2020 6:00,2064,1540,0,122,449,1354
4,4/9/2020 6:00,2304,1694,0,136,544,1507
5,4/10/2020 6:00,2599,1883,0,153,643,1690
6,4/11/2020 6:00,2988,2145,0,177,806,1578
7,4/12/2020 6:00,3202,2305,0,190,861,1667
8,4/13/2020 6:00,3512,2547,0,211,961,1705
9,4/14/2020 6:00,0,0,0,0,0,0
10,4/15/2020 6:00,3724,2425,1075,230,357,2221
11,4/16/2020 6:00,3978,2535,1180,239,376,2476
12,4/17/2020 6:00,4301,2681,1357,252,429,2552
13,4/18/2020 6:00,4557,2869,1489,266,458,2669
14,4/19/2020 6:00,4855,3037,1639,276,505,2518
15,4/20/2020 6:00,5064,3156,1744,284,519,2917
16,4/21/2020 6:00,5322,3327,1916,296,552,2780
17,4/22/2020 6:00,5540,3476,2033,304,571,2851
18,4/23/2020 6:00,5800,3662,2130,322,588,3235
19,4/24/2020 6:00,6046,3830,2373,339,616,3412
20,4/25/2020 6:00,6314,4020,2574,344,657,3857
21,4/26/2020 6:00,6742,4276,2841,363,707,3652
22,4/27/2020 6:00,7085,4498,3077,384,752,3691
23,4/28/2020 6:00,7432,4708,3309,424,721,3519
24,4/29/2020 6:00,7615,4808,3473,434,747,3772
25,4/30/2020 6:00,7821,4935,3651,459,793,4083
26,5/1/2020 6:00,8093,5147,3884,475,840,5033
27,5/2/2020 6:00,8470,5385,4258,502,876,4982
28,5/3/2020 6:00,8871,5698,4625,530,989,4749
29,5/4/2020 6:00,9147,5873,4892,547,1040,4909
30,5/5/2020 6:00,9424,6129,5144,565,937,4918
31,5/6/2020 6:00,9648,6280,5394,580,986,5275
32,5/7/2020 6:00,9892,6468,5726,603,1032,5653
33,5/8/2020 6:00,10165,6695,6067,631,1107,5820
34,5/9/2020 6:00,10337,6796,6337,647,1151,6266
35,5/10/2020 6:00,10623,7018,6686,664,1187,6409
36,5/11/2020 6:00,10927,7260,7057,691,1387,6051
37,5/12/2020 6:00,11110,7365,7274,700,1433,6179
38,5/13/2020 6:00,11140,7367,7483,689,1703,6430
39,5/14/2020 6:00,11328,7479,7864,703,1708,6821
40,5/15/2020 6:00,11572,7701,8229,723,1763,6998
41,5/16/2020 6:00,11795,7865,8615,738,1814,7141
42,5/17/2020 6:00,12052,8058,8907,752,1852,7183
43,5/18/2020 6:00,12220,8180,9196,770,1888,7508
44,5/19/2020 6:00,12454,8365,9525,787,2007,8408
45,5/20/2020 6:00,12919,8566,10153,823,2106,7756
46,5/21/2020 6:00,13086,8697,10374,836,2143,8395
47,5/22/2020 6:00,13320,8897,10726,855,2187,8439
48,5/23/2020 6:00,13527,9075,11035,873,2219,8766
49,5/24/2020 6:00,13762,9232,11383,889,2272,8775
50,5/25/2020 6:00,13922,9359,11628,895,2295,9053
51,5/26/2020 6:00,14116,9484,11819,907,2317,9044
52,5/27/2020 6:00,14217,9575,11956,917,2341,9417
53,5/28/2020 6:00,14473,9762,12422,938,2458,9656
54,5/29/2020 6:00,14613,9869,12610,948,2478,10470
55,5/30/2020 6:00,14911,10054,12978,977,2530,10565
56,5/31/2020 6:00,15188,10299,13377,997,2654,10263
57,6/1/2020 6:00,15527,10529,13753,1016,2699,9803
58,6/2/2020 6:00,15631,10603,13901,1024,2725,10291
59,6/3/2020 6:00,15856,10757,14155,1048,2765,10401
60,6/4/2020 6:00,16035,10898,14338,1057,2783,10747
61,6/5/2020 6:00,16208,11031,14573,1072,2825,11061
62,6/6/2020 6:00,16427,11206,14839,1082,2846,11082
